Status Code,"HTTP (TCP, Port 80) leads to 3xx redirect","HTTP (TCP, Port 80, www) leads to 3xx redirect","HTTPS absolute URI, no or given subdomain, Statuscode","HTTPS absolute URI, www or given subdomain, Statuscode","HTTPS absolute URI, www or given subdomain, host incl subdomain","HTTPS relative URI, no or standard subdomain, host excl subdomain, statuscode","HTTPS relative URI, www or standard subdomain, host incl subdomain, statuscode"
200,456,382,1828,3003,3794,2342,3940
204,17,11,15,17,18,18,18
206,,,,,,,1
301,5751,6151,3771,2176,2042,2916,2094
302,877,872,680,737,824,693,843
303,4,3,4,4,5,3,6
307,45,46,51,48,53,48,53
308,80,80,40,21,27,30,25
400,147,134,215,687,113,300,83
401,9,7,8,17,17,19,17
402,,,,1,,,
403,326,209,647,654,508,326,364
404,597,480,665,618,622,578,578
405,7,7,2,6,6,6,6
407,,,,2,2,,
409,4,2,1,1,,1,
410,7,1,9,1,1,2,1
412,,,,1,,,1
418,4,3,1,1,,,
421,,,22,,,,
422,,,1,,,,
429,,2,,1,2,,1
442,,,3,,,,
451,,,1,,,1,
500,34,17,50,15,15,29,17
501,,,2,,,,
502,16,3,13,7,5,7,4
503,26,15,13,24,22,27,22
504,4,,,,,,
520,,,,3,,1,
521,1,4,1,3,3,2,3
522,1,1,,1,2,,3
523,,,,2,,2,
525,,,,1,,1,
526,,,,2,3,1,3
530,21,1,6,36,2,63,2
999,519,435,1066,1025,1029,1699,1030
