Status Code,Leading_Digit,"HTTP (TCP, Port 80) leads to 3xx redirect","HTTP (TCP, Port 80, www) leads to 3xx redirect","HTTPS absolute URI, no or given subdomain, Statuscode","HTTPS absolute URI, www or given subdomain, Statuscode","HTTPS absolute URI, www or given subdomain, host incl subdomain","HTTPS relative URI, no or standard subdomain, host excl subdomain, statuscode","HTTPS relative URI, www or standard subdomain, host incl subdomain, statuscode"
200,2,456.0,382.0,1828.0,3003.0,3794.0,2342.0,3940.0
204,2,17.0,11.0,15.0,17.0,18.0,18.0,18.0
206,2,,,,,,,1.0
301,3,5751.0,6151.0,3771.0,2176.0,2042.0,2916.0,2094.0
302,3,877.0,872.0,680.0,737.0,824.0,693.0,843.0
303,3,4.0,3.0,4.0,4.0,5.0,3.0,6.0
307,3,45.0,46.0,51.0,48.0,53.0,48.0,53.0
308,3,80.0,80.0,40.0,21.0,27.0,30.0,25.0
400,4,40.0,27.0,140.0,634.0,61.0,259.0,34.0
401,4,2.0,,2.0,2.0,2.0,3.0,2.0
402,4,,,,1.0,,,
403,4,175.0,69.0,501.0,524.0,377.0,202.0,233.0
404,4,186.0,73.0,288.0,205.0,207.0,167.0,162.0
405,4,2.0,2.0,,3.0,3.0,3.0,3.0
407,4,,,,2.0,2.0,,
409,4,3.0,1.0,1.0,1.0,,1.0,
410,4,7.0,1.0,8.0,1.0,1.0,2.0,1.0
412,4,,,,1.0,,,1.0
418,4,1.0,,1.0,1.0,,,
421,4,,,20.0,,,,
422,4,,,1.0,,,,
429,4,,2.0,,1.0,2.0,,1.0
451,4,,,1.0,,,1.0,
500,5,21.0,4.0,41.0,5.0,5.0,24.0,7.0
501,5,,,1.0,,,,
502,5,13.0,,8.0,4.0,2.0,4.0,1.0
503,5,17.0,3.0,8.0,12.0,10.0,17.0,10.0
504,5,4.0,,,,,,
520,5,,,,3.0,,1.0,
521,5,,2.0,1.0,1.0,1.0,,1.0
522,5,1.0,1.0,,1.0,2.0,,3.0
523,5,,,,2.0,,2.0,
525,5,,,,1.0,,1.0,
526,5,,,,2.0,3.0,1.0,3.0
530,5,15.0,1.0,6.0,36.0,2.0,63.0,2.0
999,9,252.0,238.0,552.0,520.0,526.0,1168.0,525.0
