Rank,Domain,Socket Info 80,Socket Info 443,Socket Info WWW 80,Socket Info WWW 443,"HTTP (TCP, Port 80) leads to 3xx redirect","HTTP (TCP, Port 80, www) leads to 3xx redirect","HTTPS absolute URI, no or given subdomain","HTTPS absolute URI, no or given subdomain, Location","HTTPS absolute URI, www or given subdomain","HTTPS absolute URI, www or given subdomain, Location","HTTPS absolute URI, www or given subdomain, host incl subdomain","HTTPS absolute URI, www or given subdomain, host incl subdomain, Location","HTTPS relative URI, no or standard subdomain, host excl subdomain","HTTPS relative URI, no or standard subdomain, host excl subdomain, Location","HTTPS relative URI, www or standard subdomain, host incl subdomain","HTTPS relative URI, www or standard subdomain, host incl subdomain, Location"
1,google.com,"[[2, 1, 6, """", [""142.250.181.206"", 80]]]","[[2, 1, 6, """", [""142.250.181.206"", 443]]]","[[2, 1, 6, """", [""142.251.209.132"", 80]]]","[[2, 1, 6, """", [""142.251.209.132"", 443]]]",302,302,301.0,https://www.google.com/,200.0,,200.0,,301.0,https://www.google.com/,200.0,
2,facebook.com,"[[2, 1, 6, """", [""157.240.210.35"", 80]]]","[[2, 1, 6, """", [""157.240.210.35"", 443]]]","[[2, 1, 6, """", [""157.240.210.35"", 80]]]","[[2, 1, 6, """", [""157.240.210.35"", 443]]]",301,301,301.0,https://www.facebook.com/?absolute_url_processed=1,302.0,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F%3Fabsolute_url_processed%3D1,302.0,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F%3Fabsolute_url_processed%3D1,301.0,https://www.facebook.com/,302.0,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F
3,microsoft.com,"[[2, 1, 6, """", [""20.76.201.171"", 80]], [2, 1, 6, """", [""20.70.246.20"", 80]], [2, 1, 6, """", [""20.112.250.133"", 80]], [2, 1, 6, """", [""20.236.44.162"", 80]], [2, 1, 6, """", [""20.231.239.246"", 80]]]","[[2, 1, 6, """", [""20.76.201.171"", 443]], [2, 1, 6, """", [""20.70.246.20"", 443]], [2, 1, 6, """", [""20.112.250.133"", 443]], [2, 1, 6, """", [""20.236.44.162"", 443]], [2, 1, 6, """", [""20.231.239.246"", 443]]]","[[2, 1, 6, """", [""2.23.181.156"", 80]]]","[[2, 1, 6, """", [""2.23.181.156"", 443]]]",404,302,301.0,https://www.microsoft.com/,400.0,,302.0,https://www.microsoft.com/de-de/,400.0,,302.0,https://www.microsoft.com/de-de/
4,googleapis.com,"[[2, 1, 6, """", [""142.250.181.196"", 80]]]","[[2, 1, 6, """", [""142.250.181.196"", 443]]]","[[2, 1, 6, """", [""172.217.16.74"", 80]], [2, 1, 6, """", [""142.250.181.202"", 80]], [2, 1, 6, """", [""142.251.209.138"", 80]]]","[[2, 1, 6, """", [""172.217.16.74"", 443]], [2, 1, 6, """", [""142.250.181.202"", 443]], [2, 1, 6, """", [""142.251.209.138"", 443]]]",404,404,404.0,,404.0,,404.0,,404.0,,404.0,
5,youtube.com,"[[2, 1, 6, """", [""142.251.209.142"", 80]]]","[[2, 1, 6, """", [""142.251.209.142"", 443]]]","[[2, 1, 6, """", [""172.217.19.78"", 80]], [2, 1, 6, """", [""172.217.16.78"", 80]], [2, 1, 6, """", [""142.251.209.142"", 80]], [2, 1, 6, """", [""142.250.181.206"", 80]]]","[[2, 1, 6, """", [""172.217.19.78"", 443]], [2, 1, 6, """", [""172.217.16.78"", 443]], [2, 1, 6, """", [""142.251.209.142"", 443]], [2, 1, 6, """", [""142.250.181.206"", 443]]]",301,301,301.0,https://www.youtube.com/,200.0,,200.0,,301.0,https://www.youtube.com/,200.0,
6,apple.com,"[[2, 1, 6, """", [""17.253.144.10"", 80]]]","[[2, 1, 6, """", [""17.253.144.10"", 443]]]","[[2, 1, 6, """", [""2.16.252.237"", 80]]]","[[2, 1, 6, """", [""2.16.252.237"", 443]]]",404,301,301.0,https://www.apple.com/,400.0,,200.0,,999.0,,200.0,
7,www.google.com,"[[2, 1, 6, """", [""142.251.209.132"", 80]]]","[[2, 1, 6, """", [""142.251.209.132"", 443]]]","[[2, 1, 6, """", [""142.251.209.132"", 80]]]","[[2, 1, 6, """", [""142.251.209.132"", 443]]]",302,302,301.0,https://www.google.com/,200.0,,200.0,,200.0,,200.0,
8,twitter.com,"[[2, 1, 6, """", [""104.244.42.193"", 80]]]","[[2, 1, 6, """", [""104.244.42.193"", 443]]]","[[2, 1, 6, """", [""104.244.42.193"", 80]]]","[[2, 1, 6, """", [""104.244.42.193"", 443]]]",301,301,302.0,/,301.0,https://twitter.com/,301.0,https://twitter.com/,302.0,/,301.0,https://twitter.com/
9,instagram.com,"[[2, 1, 6, """", [""157.240.210.174"", 80]]]","[[2, 1, 6, """", [""157.240.210.174"", 443]]]","[[2, 1, 6, """", [""157.240.210.174"", 80]]]","[[2, 1, 6, """", [""157.240.210.174"", 443]]]",301,301,301.0,https://www.instagram.com/?absolute_url_processed=1,200.0,,200.0,,301.0,https://www.instagram.com/,200.0,
10,data.microsoft.com,"""[Errno -5] No address associated with hostname""","""[Errno -5] No address associated with hostname""","""[Errno -5] No address associated with hostname""","""[Errno -5] No address associated with hostname""","(999, '')","(999, '')",999.0,,999.0,,999.0,,999.0,,999.0,
